Feeder,,,Tablet Press,,
TimeStamp,Unit,Value,Date/Time,Unit,Value
12/01/2018 08:13,C,20.057,12/01/2018 08:15,C,23.605
12/01/2018 08:28,C,20.557,12/01/2018 08:30,C,23.605
12/01/2018 08:43,C,20.557,12/01/2018 08:45,C,23.605
12/01/2018 08:58,C,20.557,12/01/2018 09:00,C,23.605
12/01/2018 09:13,C,20.557,12/01/2018 09:15,C,24.105
12/01/2018 09:28,C,20.557,12/01/2018 09:30,C,24.605
12/01/2018 09:43,C,20.557,12/01/2018 09:45,C,25.105
12/01/2018 09:58,C,21.057,12/01/2018 10:00,C,25.605
12/01/2018 10:13,C,21.057,12/01/2018 10:15,C,26.105
12/01/2018 10:28,C,21.057,12/01/2018 10:30,C,26.605
12/01/2018 10:43,C,21.057,12/01/2018 10:45,C,27.105
12/01/2018 10:58,C,21.057,12/01/2018 11:00,C,27.605
12/01/2018 11:13,C,21.057,12/01/2018 11:15,C,28.105
12/01/2018 11:28,C,21.057,12/01/2018 11:30,C,28.605
12/01/2018 11:43,C,21.057,12/01/2018 11:45,C,29.604
12/01/2018 11:58,C,21.057,12/01/2018 12:00,C,30.104
12/01/2018 12:13,C,21.057,12/01/2018 12:15,C,30.104
12/01/2018 12:28,C,21.558,12/01/2018 12:30,C,30.604
12/01/2018 12:43,C,21.558,12/01/2018 12:45,C,31.104
12/01/2018 12:58,C,21.558,12/01/2018 13:00,C,31.603
12/01/2018 13:13,C,21.558,12/01/2018 13:15,C,32.103
12/01/2018 13:28,C,21.558,12/01/2018 13:30,C,32.103
12/01/2018 13:43,C,21.558,12/01/2018 13:45,C,32.602
12/01/2018 13:58,C,21.558,12/01/2018 14:00,C,33.102
12/01/2018 14:13,C,21.558,12/01/2018 14:15,C,33.102
12/01/2018 14:28,C,21.558,12/01/2018 14:30,C,33.102
12/01/2018 14:43,C,22.058,12/01/2018 14:45,C,33.102
12/01/2018 14:58,C,22.058,12/01/2018 15:00,C,33.601
12/01/2018 15:13,C,21.558,12/01/2018 15:15,C,33.601
12/01/2018 15:28,C,21.558,12/01/2018 15:30,C,33.601
12/01/2018 15:43,C,22.058,12/01/2018 15:45,C,33.601
12/01/2018 15:58,C,22.058,12/01/2018 16:00,C,34.101
12/01/2018 16:13,C,22.058,12/01/2018 16:15,C,34.101
12/01/2018 16:28,C,22.058,12/01/2018 16:30,C,34.101
12/01/2018 16:43,C,22.058,12/01/2018 16:45,C,34.101
